epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.8911,1.01216,33.5933,1.071,0.96234,1,0.995,0.88492,0.15686,32.1728,0.21888,0.0003375,0.0003375,0.0003375
2,72.1941,1.03371,5.14835,1.11825,0.70053,0.78519,0.70137,0.32047,0.4141,5.93068,0.4056,0.000660275,0.000660275,0.000660275
3,86.1641,1.07453,3.37988,1.09347,0.82007,0.76703,0.81673,0.64703,0.24389,27.5564,0.27906,0.00095533,0.00095533,0.00095533
4,109.104,1.09197,2.45804,1.17006,0.95881,1,0.995,0.8257,0.18459,26.0823,0.23065,0.0011015,0.0011015,0.0011015
5,130.513,1.02984,1.92778,1.07317,0.98475,1,0.995,0.79358,0.22271,1.4097,0.26992,0.001052,0.001052,0.001052
6,143.989,0.92239,1.01759,1.05407,0.98968,1,0.995,0.7625,0.2041,13.0313,0.25808,0.0010025,0.0010025,0.0010025
7,163.361,0.70595,0.9609,0.93588,0.99085,1,0.995,0.80283,0.1959,0.59328,0.23506,0.000953,0.000953,0.000953
8,176.189,0.6929,0.74528,0.9925,0.9922,1,0.995,0.824,0.17782,0.31596,0.22878,0.0009035,0.0009035,0.0009035
9,189.385,0.79279,0.78135,1.01897,0.99071,1,0.995,0.78633,0.18731,5.02549,0.23729,0.000854,0.000854,0.000854
10,211.129,0.7262,0.83555,0.92469,0.98402,1,0.995,0.83175,0.17039,38.4222,0.23043,0.0008045,0.0008045,0.0008045
11,229.791,0.71858,0.82432,0.91802,0.97524,1,0.995,0.78055,0.20373,52.9351,0.25279,0.000755,0.000755,0.000755
